# Time-averaged data for fix 3
# TimeStep Number-of-rows
# Row c_rdf[1] c_rdf[2] c_rdf[3]
1000 100
1 0.025 0 0
2 0.075 0 0
3 0.125 0 0
4 0.175 0 0
5 0.225 0 0
6 0.275 0 0
7 0.325 0 0
8 0.375 0 0
9 0.425 0 0
10 0.475 0 0
11 0.525 0 0
12 0.575 0 0
13 0.625 0 0
14 0.675 0 0
15 0.725 0 0
16 0.775 0 0
17 0.825 0 0
18 0.875 0.0106019 0.00277778
19 0.925 0.243259 0.0710648
20 0.975 0.878004 0.349306
21 1.025 1.55146 0.898611
22 1.075 1.8424 1.60648
23 1.125 1.82436 2.37755
24 1.175 1.64236 3.13009
25 1.225 1.45617 3.85556
26 1.275 1.34924 4.57917
27 1.325 1.18322 5.26319
28 1.375 1.10292 5.94861
29 1.425 0.979685 6.59699
30 1.475 0.929176 7.25787
31 1.525 0.888782 7.9338
32 1.575 0.867213 8.6375
33 1.625 0.857571 9.37917
34 1.675 0.865392 10.1755
35 1.725 0.855775 11.012
36 1.775 0.896357 11.9394
37 1.825 0.904783 12.931
38 1.875 0.959404 14.0454
39 1.925 0.985985 15.2551
40 1.975 1.0102 16.5625
41 2.025 1.02712 17.959
42 2.075 1.05741 19.4711
43 2.125 1.05314 21.0544
44 2.175 1.08659 22.7613
45 2.225 1.0783 24.5343
46 2.275 1.05495 26.3405
47 2.325 1.0449 28.2104
48 2.375 1.01736 30.103
49 2.425 1.01315 32.0613
50 2.475 0.986396 34.0516
51 2.525 0.976653 36.1016
52 2.575 0.999154 38.2794
53 2.625 0.957542 40.4512
54 2.675 0.974995 42.7437
55 2.725 0.964941 45.1053
56 2.775 0.985306 47.5995
57 2.825 0.979596 50.1819
58 2.875 0.992154 52.8956
59 2.925 1.01162 55.7537
60 2.975 1.00889 58.7086
61 3.025 0.993202 61.7169
62 3.075 1.02265 64.9144
63 3.125 1.01279 68.1937
64 3.175 1.00944 71.5597
65 3.225 1.01509 75.0505
66 3.275 1.00498 78.6183
67 3.325 1.01372 82.3211
68 3.375 1.00684 86.1063
69 3.425 1.00466 89.9933
70 3.475 0.999872 93.9817
71 3.525 0.997652 98.0748
72 3.575 0.998386 102.283
73 3.625 0.995721 106.59
74 3.675 1.00052 111.046
75 3.725 0.990674 115.574
76 3.775 1.00248 120.294
77 3.825 0.997671 125.116
78 3.875 0.996475 130.058
79 3.925 0.993786 135.114
80 3.975 0.988148 140.272
81 4.025 1.00678 145.665
82 4.075 1.00228 151.162
83 4.125 1.00656 156.822
84 4.175 1.0094 162.637
85 4.225 1.00631 168.573
86 4.275 0.989525 174.553
87 4.325 1.01335 180.812
88 4.375 1.00599 187.166
89 4.425 1.00793 193.682
90 4.475 0.998328 200.284
91 4.525 0.997211 207.024
92 4.575 0.994604 213.896
93 4.625 0.999593 220.959
94 4.675 0.996296 228.146
95 4.725 1.00123 235.535
96 4.775 1.00063 243.077
97 4.825 1.00296 250.779
98 4.875 0.993693 258.573
99 4.925 1.00278 266.601
100 4.975 1.00289 274.788
2000 100
1 0.025 0 0
2 0.075 0 0
3 0.125 0 0
4 0.175 0 0
5 0.225 0 0
6 0.275 0 0
7 0.325 0 0
8 0.375 0 0
9 0.425 0 0
10 0.475 0 0
11 0.525 0 0
12 0.575 0 0
13 0.625 0 0
14 0.675 0 0
15 0.725 0 0
16 0.775 0 0
17 0.825 0 0
18 0.875 0.00482454 0.00115741
19 0.925 0.187844 0.0525463
20 0.975 0.822751 0.302083
21 1.025 1.47061 0.794676
22 1.075 1.79205 1.45556
23 1.125 1.81491 2.18773
24 1.175 1.70937 2.94097
25 1.225 1.49064 3.65394
26 1.275 1.32975 4.34306
